indicator,type,topic,description,response,respondent_group,year,sample_size,result,format
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,Female,2023,757,12.5,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,Male,2023,571,13.4,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,City of Melbourne,2023,1368,12.9,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,Docklands 3008,2023,113,7.1,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,East Melbourne 3002,2023,69,5.0,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,Parkville 3052,2023,77,17.6,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,137,8.4,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",25-34 years,2023,385,45.1,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",45-54 years,2023,119,54.6,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",55-64 years,2023,112,62.0,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Female,2023,700,45.5,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Male,2023,540,51.7,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Melbourne 3000,2023,311,45.7,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",North Melbourne 3051 / West Melbourne 3003,2023,193,53.2,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Parkville 3052,2023,71,54.5,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,132,61.9,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,35-44 years,2023,228,92.9,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,55-64 years,2023,115,94.1,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,Docklands 3008,2023,113,93.5,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,South Wharf / Southbank 3006,2023,146,96.6,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Female,2023,751,34.3,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Carlton 3053,2023,188,30.1,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Docklands 3008,2023,113,34.1,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Kensington / Flemington 3031,2023,86,34.4,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Parkville 3052,2023,77,45.3,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",South Wharf / Southbank 3006,2023,144,26.6,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,135,31.4,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",18-24 years,2023,270,23.2,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Carlton 3053,2023,188,18.4,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2023,202,24.9,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Parkville 3052,2023,77,28.6,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",South Wharf / Southbank 3006,2023,144,20.0,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",35-44 years,2023,229,19.7,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",45-54 years,2023,128,7.6,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",55-64 years,2023,115,12.6,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Carlton 3053,2023,192,27.2,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",City of Melbourne,2023,1376,22.7,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Parkville 3052,2023,77,25.3,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",South Wharf / Southbank 3006,2023,147,21.5,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,138,26.9,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",18-24 years,2023,274,87.7,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",25-34 years,2023,421,75.8,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Male,2023,573,72.1,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",East Melbourne 3002,2023,69,69.7,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Melbourne 3000,2023,344,74.8,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2023,207,79.4,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Parkville 3052,2023,77,86.2,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,25-34 years,2023,398,93.1,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,45-54 years,2023,119,95.5,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,65+ years,2023,202,86.9,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Male,2023,545,91.1,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Docklands 3008,2023,109,92.2,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Melbourne 3000,2023,321,92.8,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,18-24 years,2023,274,28.8,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,35-44 years,2023,229,18.2,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,55-64 years,2023,115,36.7,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,65+ years,2023,203,42.9,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,Male,2023,573,23.6,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,Carlton 3053,2023,192,25.2,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,City of Melbourne,2023,1376,22.6,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,Melbourne 3000,2023,344,14.8,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,138,29.4,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Carlton 3053,2023,192,63.4,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",North Melbourne 3051 / West Melbourne 3003,2023,207,65.9,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Parkville 3052,2023,77,70.1,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",45-54 years,2023,128,49.6,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",55-64 years,2023,115,45.5,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",Carlton 3053,2023,192,50.3,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",City of Melbourne,2023,1376,55.5,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",Parkville 3052,2023,77,60.9,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,25-34 years,2023,421,52.6,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,35-44 years,2023,229,43.3,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,45-54 years,2023,128,45.7,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,Female,2023,761,43.5,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,South Wharf / Southbank 3006,2023,147,44.7,Per cent
