Geography,Year,Category,Industry Space Use,Value
East Melbourne,2028,Jobs by industry,Construction,60
East Melbourne,2029,Jobs by industry,Construction,61
East Melbourne,2030,Jobs by industry,Construction,62
East Melbourne,2033,Jobs by industry,Construction,60
East Melbourne,2034,Jobs by industry,Construction,60
East Melbourne,2036,Jobs by industry,Construction,61
East Melbourne,2037,Jobs by industry,Construction,61
East Melbourne,2040,Jobs by industry,Construction,63
East Melbourne,2021,Jobs by industry,Education and training,1399
East Melbourne,2024,Jobs by industry,Education and training,1480
East Melbourne,2025,Jobs by industry,Education and training,1554
East Melbourne,2026,Jobs by industry,Education and training,1595
East Melbourne,2027,Jobs by industry,Education and training,1679
East Melbourne,2029,Jobs by industry,Education and training,1859
East Melbourne,2030,Jobs by industry,Education and training,1952
East Melbourne,2032,Jobs by industry,Education and training,2068
East Melbourne,2036,Jobs by industry,Education and training,2243
East Melbourne,2040,Jobs by industry,Education and training,2410
East Melbourne,2021,Jobs by industry,"Electricity, gas, water and waste services",0
East Melbourne,2022,Jobs by industry,"Electricity, gas, water and waste services",0
East Melbourne,2023,Jobs by industry,"Electricity, gas, water and waste services",0
East Melbourne,2024,Jobs by industry,"Electricity, gas, water and waste services",0
East Melbourne,2028,Jobs by industry,"Electricity, gas, water and waste services",0
East Melbourne,2029,Jobs by industry,"Electricity, gas, water and waste services",0
East Melbourne,2035,Jobs by industry,"Electricity, gas, water and waste services",0
East Melbourne,2036,Jobs by industry,"Electricity, gas, water and waste services",0
East Melbourne,2039,Jobs by industry,"Electricity, gas, water and waste services",0
East Melbourne,2040,Jobs by industry,"Electricity, gas, water and waste services",0
East Melbourne,2029,Jobs by industry,Finance and insurance,592
East Melbourne,2033,Jobs by industry,Finance and insurance,606
East Melbourne,2037,Jobs by industry,Finance and insurance,623
East Melbourne,2021,Jobs by industry,Food and beverage services,2772
East Melbourne,2023,Jobs by industry,Food and beverage services,2928
East Melbourne,2025,Jobs by industry,Food and beverage services,3274
East Melbourne,2030,Jobs by industry,Food and beverage services,3504
East Melbourne,2036,Jobs by industry,Food and beverage services,3619
East Melbourne,2037,Jobs by industry,Food and beverage services,3630
East Melbourne,2024,Jobs by industry,Health care and social assistance,5713
East Melbourne,2027,Jobs by industry,Health care and social assistance,6289
East Melbourne,2032,Jobs by industry,Health care and social assistance,7076
East Melbourne,2033,Jobs by industry,Health care and social assistance,7145
East Melbourne,2021,Jobs by industry,Information media and telecommunications,73
East Melbourne,2026,Jobs by industry,Information media and telecommunications,72
East Melbourne,2029,Jobs by industry,Information media and telecommunications,75
East Melbourne,2035,Jobs by industry,Information media and telecommunications,81
East Melbourne,2037,Jobs by industry,Information media and telecommunications,83
East Melbourne,2023,Jobs by industry,Manufacturing,649
East Melbourne,2025,Jobs by industry,Manufacturing,661
East Melbourne,2027,Jobs by industry,Manufacturing,652
East Melbourne,2029,Jobs by industry,Manufacturing,654
East Melbourne,2031,Jobs by industry,Manufacturing,661
East Melbourne,2032,Jobs by industry,Manufacturing,665
East Melbourne,2041,Jobs by industry,Manufacturing,691
East Melbourne,2021,Jobs by industry,Other services,1153
East Melbourne,2022,Jobs by industry,Other services,1147
East Melbourne,2024,Jobs by industry,Other services,1193
East Melbourne,2026,Jobs by industry,Other services,1246
East Melbourne,2028,Jobs by industry,Other services,1300
East Melbourne,2035,Jobs by industry,Other services,1391
East Melbourne,2041,Jobs by industry,Other services,1458
East Melbourne,2025,Jobs by industry,Public administration and safety,4684
East Melbourne,2030,Jobs by industry,Public administration and safety,5094
East Melbourne,2032,Jobs by industry,Public administration and safety,5230
East Melbourne,2033,Jobs by industry,Public administration and safety,5259
East Melbourne,2037,Jobs by industry,Public administration and safety,5372
East Melbourne,2041,Jobs by industry,Public administration and safety,5488
East Melbourne,2027,Jobs by industry,Real estate services,74
East Melbourne,2028,Jobs by industry,Real estate services,76
East Melbourne,2030,Jobs by industry,Real estate services,78
East Melbourne,2041,Jobs by industry,Real estate services,86
East Melbourne,2021,Jobs by industry,Rental and hiring services,0
East Melbourne,2023,Jobs by industry,Rental and hiring services,0
East Melbourne,2024,Jobs by industry,Rental and hiring services,0
East Melbourne,2029,Jobs by industry,Rental and hiring services,0
East Melbourne,2033,Jobs by industry,Rental and hiring services,0
East Melbourne,2036,Jobs by industry,Rental and hiring services,0
East Melbourne,2038,Jobs by industry,Rental and hiring services,0
East Melbourne,2039,Jobs by industry,Rental and hiring services,0
East Melbourne,2040,Jobs by industry,Rental and hiring services,0
East Melbourne,2041,Jobs by industry,Rental and hiring services,0
East Melbourne,2021,Jobs by industry,Retail trade,80
East Melbourne,2022,Jobs by industry,Retail trade,81
East Melbourne,2025,Jobs by industry,Retail trade,101
East Melbourne,2026,Jobs by industry,Retail trade,108
East Melbourne,2029,Jobs by industry,Retail trade,118
East Melbourne,2030,Jobs by industry,Retail trade,122
East Melbourne,2033,Jobs by industry,Retail trade,140
East Melbourne,2039,Jobs by industry,Retail trade,177
East Melbourne,2040,Jobs by industry,Retail trade,182
East Melbourne,2041,Jobs by industry,Retail trade,189
East Melbourne,2022,Jobs by industry,"Transport, postal and storage",11
East Melbourne,2023,Jobs by industry,"Transport, postal and storage",12
East Melbourne,2025,Jobs by industry,"Transport, postal and storage",13
East Melbourne,2026,Jobs by industry,"Transport, postal and storage",14
East Melbourne,2028,Jobs by industry,"Transport, postal and storage",14
East Melbourne,2029,Jobs by industry,"Transport, postal and storage",14
East Melbourne,2032,Jobs by industry,"Transport, postal and storage",15
East Melbourne,2035,Jobs by industry,"Transport, postal and storage",16
East Melbourne,2036,Jobs by industry,"Transport, postal and storage",16
East Melbourne,2038,Jobs by industry,"Transport, postal and storage",16
East Melbourne,2039,Jobs by industry,"Transport, postal and storage",17
East Melbourne,2022,Jobs by industry,Wholesale trade,138
East Melbourne,2024,Jobs by industry,Wholesale trade,137
East Melbourne,2026,Jobs by industry,Wholesale trade,135
East Melbourne,2028,Jobs by industry,Wholesale trade,136
East Melbourne,2031,Jobs by industry,Wholesale trade,143
East Melbourne,2032,Jobs by industry,Wholesale trade,145
East Melbourne,2034,Jobs by industry,Wholesale trade,147
East Melbourne,2036,Jobs by industry,Wholesale trade,143
East Melbourne,2037,Jobs by industry,Wholesale trade,143
East Melbourne,2039,Jobs by industry,Wholesale trade,142
Kensington,2032,Jobs by industry,Accommodation,66
Kensington,2037,Jobs by industry,Accommodation,72
Kensington,2039,Jobs by industry,Accommodation,77
Kensington,2023,Jobs by industry,Admin and support services,206
Kensington,2025,Jobs by industry,Admin and support services,214
Kensington,2026,Jobs by industry,Admin and support services,220
Kensington,2029,Jobs by industry,Admin and support services,231
Kensington,2032,Jobs by industry,Admin and support services,322
Kensington,2033,Jobs by industry,Admin and support services,376
Kensington,2038,Jobs by industry,Admin and support services,522
Kensington,2039,Jobs by industry,Admin and support services,528
Kensington,2040,Jobs by industry,Admin and support services,534
Kensington,2041,Jobs by industry,Admin and support services,546
Kensington,2024,Jobs by industry,Agriculture and mining,2
Kensington,2026,Jobs by industry,Agriculture and mining,2
Kensington,2030,Jobs by industry,Agriculture and mining,3
Kensington,2034,Jobs by industry,Agriculture and mining,3
Kensington,2040,Jobs by industry,Agriculture and mining,3
Kensington,2022,Jobs by industry,Arts and recreation services,3435
Kensington,2023,Jobs by industry,Arts and recreation services,3429
Kensington,2024,Jobs by industry,Arts and recreation services,3409
Kensington,2026,Jobs by industry,Arts and recreation services,3420
Kensington,2031,Jobs by industry,Arts and recreation services,3745
Kensington,2032,Jobs by industry,Arts and recreation services,3847
Kensington,2033,Jobs by industry,Arts and recreation services,3951
Kensington,2037,Jobs by industry,Arts and recreation services,4322
Kensington,2025,Jobs by industry,Business services,1047
Kensington,2026,Jobs by industry,Business services,1077
Kensington,2031,Jobs by industry,Business services,1223
Kensington,2041,Jobs by industry,Business services,1603
Kensington,2021,Jobs by industry,Construction,292
Kensington,2023,Jobs by industry,Construction,318
Kensington,2027,Jobs by industry,Construction,344
Kensington,2028,Jobs by industry,Construction,347
Kensington,2030,Jobs by industry,Construction,356
Kensington,2032,Jobs by industry,Construction,439
Kensington,2034,Jobs by industry,Construction,451
Kensington,2037,Jobs by industry,Construction,443
Kensington,2038,Jobs by industry,Construction,448
Kensington,2040,Jobs by industry,Construction,459
Kensington,2024,Jobs by industry,Education and training,194
Kensington,2028,Jobs by industry,Education and training,266
Kensington,2030,Jobs by industry,Education and training,322
Kensington,2032,Jobs by industry,Education and training,367
Kensington,2034,Jobs by industry,Education and training,398
Kensington,2035,Jobs by industry,Education and training,412
Kensington,2038,Jobs by industry,Education and training,463
Kensington,2039,Jobs by industry,Education and training,480
Kensington,2040,Jobs by industry,Education and training,499
Kensington,2041,Jobs by industry,Education and training,519
Kensington,2024,Jobs by industry,"Electricity, gas, water and waste services",0
Kensington,2025,Jobs by industry,"Electricity, gas, water and waste services",0
Kensington,2027,Jobs by industry,"Electricity, gas, water and waste services",0
Kensington,2031,Jobs by industry,"Electricity, gas, water and waste services",0
Kensington,2036,Jobs by industry,"Electricity, gas, water and waste services",0
Kensington,2038,Jobs by industry,"Electricity, gas, water and waste services",0
Kensington,2040,Jobs by industry,"Electricity, gas, water and waste services",0
Kensington,2024,Jobs by industry,Finance and insurance,7
Kensington,2027,Jobs by industry,Finance and insurance,7
Kensington,2030,Jobs by industry,Finance and insurance,7
Kensington,2033,Jobs by industry,Finance and insurance,266
Kensington,2034,Jobs by industry,Finance and insurance,354
Kensington,2037,Jobs by industry,Finance and insurance,452
Kensington,2025,Jobs by industry,Food and beverage services,417
Kensington,2028,Jobs by industry,Food and beverage services,511
Kensington,2029,Jobs by industry,Food and beverage services,540
Kensington,2030,Jobs by industry,Food and beverage services,571
Kensington,2031,Jobs by industry,Food and beverage services,634
Kensington,2033,Jobs by industry,Food and beverage services,738
Kensington,2035,Jobs by industry,Food and beverage services,857
Kensington,2040,Jobs by industry,Food and beverage services,948
Kensington,2022,Jobs by industry,Health care and social assistance,480
Kensington,2025,Jobs by industry,Health care and social assistance,587
Kensington,2026,Jobs by industry,Health care and social assistance,627
Kensington,2027,Jobs by industry,Health care and social assistance,664
Kensington,2031,Jobs by industry,Health care and social assistance,891
Kensington,2033,Jobs by industry,Health care and social assistance,1040
Kensington,2037,Jobs by industry,Health care and social assistance,1302
Kensington,2023,Jobs by industry,Information media and telecommunications,95
Kensington,2027,Jobs by industry,Information media and telecommunications,94
Kensington,2030,Jobs by industry,Information media and telecommunications,98
Kensington,2031,Jobs by industry,Information media and telecommunications,92
Kensington,2037,Jobs by industry,Information media and telecommunications,83
Kensington,2039,Jobs by industry,Information media and telecommunications,86
Kensington,2041,Jobs by industry,Information media and telecommunications,92
Kensington,2024,Jobs by industry,Manufacturing,365
Kensington,2025,Jobs by industry,Manufacturing,347
Kensington,2026,Jobs by industry,Manufacturing,339
Kensington,2030,Jobs by industry,Manufacturing,349
Kensington,2033,Jobs by industry,Manufacturing,395
Kensington,2036,Jobs by industry,Manufacturing,419
Kensington,2041,Jobs by industry,Manufacturing,442
Kensington,2021,Jobs by industry,Other services,277
Kensington,2024,Jobs by industry,Other services,312
